Table 4-29:  Approach 2 Quantitative Uncertainty Estimates for N2O Emissions from Nitric Acid Production (MMT CO2 Eq. and Percent) ,,,,,,,
,,,,,,,
,Source,Gas,2017 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,,Lower,Upper,Lower,Upper
,,,,Bound,Bound,Bound,Bound
,Nitric Acid Production,N2O,9.3,8.9,9.8,-5%,5%
,a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,
