Table 4-111:  Approach 2 Quantitative Uncertainty Estimates for N2O Emissions from N2O Product Usage (MMT CO2 Eq. and Percent),,,,,,,
,,,,,,,
,Source,Gas,2017 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
, ,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
, ,,,Lower,Upper,Lower,Upper
,,,,Bound,Bound,Bound,Bound
,N2O from Product Uses,N2O,4.2,3.2,5.2,-24%,24%
,a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,
