Table 4-47:  CO2 and CH4 Emissions from Petrochemical Production (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CO2,"21,222 ","22,623 ","23,222 ","24,168 ","26,098 ","27,446 ","28,568 ","29,944 ","30,292 ","31,695 ","30,971 ","27,096 ","28,113 ","27,904 ","30,054 ","26,810 ","27,020 ","27,456 ","24,196 ","23,238 ","27,262 ","26,338 ","26,501 ","26,395 ","26,496 ","28,062 ","28,110 ","28,225 "
,CH4,9 ,9 ,9 ,11 ,12 ,12 ,13 ,14 ,14 ,13 ,12 ,8 ,8 ,8 ,7 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,5 ,7 ,10 ,10 
