Table 2-13:  Transportation-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Vehicle,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,N2O,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.2,1.1,1.1,1.2,1.2,1.3,1.3,1.2,1.1,1,1.1,1,1.1,1.1,1.1,1.1,1.2
,Other Aircraftb,78.3,69.1,64.6,62.8,65.3,60.3,69.2,65,71.8,65.5,58.8,68.2,67,59,64.6,59.7,48.1,42.4,48.2,36.8,40.4,34.2,32.1,34.7,35,40.4,47.5,45.6
,CO2,77.5,68.4,64,62.1,64.6,59.7,68.6,64.3,71.1,64.8,58.2,67.5,66.3,58.5,64,59.1,47.6,42,47.8,36.4,40.1,33.9,31.8,34.4,34.7,40,47,45.2
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,0.7,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4
,Ships and Boatsc,47.4,42.2,57.7,54.3,55.9,59.3,56.3,42.8,36.1,45.1,66,43.1,47.9,37.8,40.5,45.7,48.7,55.5,45.9,39.3,45.2,46.8,40.6,40.1,29.4,34.1,41.3,44.4
,CO2,46.3,41.1,56.4,53.1,54.6,58,55,41.6,35.1,43.9,64.4,41.8,46.5,36.5,39.1,44.2,47.1,53.7,44.1,37.5,43,44.4,38,37.2,26.4,30.8,37.5,40.3
,CH4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
,N2O,0.6,0.5,0.7,0.7,0.7,0.7,0.7,0.5,0.4,0.5,0.8,0.5,0.6,0.4,0.5,0.6,0.6,0.7,0.6,0.5,0.6,0.6,0.5,0.5,0.3,0.4,0.5,0.5
,HFCs,0,0,0,+ ,+ ,+ ,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1.2,1.5,1.7,2,2.3,2.6,2.9,3.3
,Rail,39,36.8,37.8,38.8,41.7,43.1,43.9,44.1,44.4,46,46.1,46.4,46,47.7,50.3,50.9,52.9,52,48.2,41,43.7,45.3,44,44.8,46.3,44.2,40.8,41.9
,CO2,38.5,36.4,37.3,38.4,41.2,42.7,43.4,43.5,43.9,45.5,45.5,45.8,45.3,47.1,49.7,50.3,52.2,51.3,47.6,40.4,43.1,44.7,43.4,44.2,45.7,43.6,40.2,41.2
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,N2O,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.3
,HFCs,0,0,0,0,0,0,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
,Other Emissions from Electric Powerd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1
,Pipelinese,36,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.2,35.7,35.5,34.6,36.7,32.8,31.3,32.4,32.4,34.4,35.9,37.1,37.3,38.1,40.6,46.2,39.4,38.5,39.2,41.4
,CO2,36,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.2,35.7,35.5,34.6,36.7,32.8,31.3,32.4,32.4,34.4,35.9,37.1,37.3,38.1,40.6,46.2,39.4,38.5,39.2,41.4
,Lubricants,11.8,10.6,10.8,11,11.5,11.3,11,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,10.4,10,9.1,9.6,10,11,10.4,9.6
,CO2,11.8,10.6,10.8,11,11.5,11.3,11,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,10.4,10,9.1,9.6,10,11,10.4,9.6
,Total Transportation,1530.2,1484,1543.6,1580.6,1635.4,1670.5,1726.6,1753.2,1795.6,1866.7,1904.8,1885.5,1926.7,1918.6,1962.8,1980.8,1974.6,1974.5,1876.8,1800.4,1808,1780.2,1760.4,1769.8,1804.5,1813.7,1854.1,1870.6
,International Bunker Fuelsf,54.8,61.3,51.4,41.1,40.3,40.3,41.3,44.2,45.7,37.8,34.3,32.9,34.6,36.4,42.6,44.7,46.1,46.8,50.3,46.5,47.7,40,35.5,29.5,28.7,31.6,34.9,34.6
,Ethanol CO2g,4.1,4.7,5.4,6.3,7,7.5,5.4,6.8,7.6,8,9,9.5,11.2,15.3,19.1,21.6,28.7,36.1,51.1,58.5,68.7,69.5,69.6,70.5,74,74.2,76.9,77.7
,Biodiesel CO2g,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.3,0.9,2.5,3.3,2.9,3,2.5,8.3,8.5,13.5,13.3,14.1,19.6,18.7
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Consists of emissions from jet fuel consumed by domestic operations of commercial aircraft (no bunkers).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Consists of emissions from jet fuel and aviation gasoline consumption by general aviation and military aircraft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"c Fluctuations in emission estimates are associated with fluctuations in reported fuel consumption, and may reflect issues with data sources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"d Other emissions from electric power are a result of waste incineration (as the majority of municipal solid waste is combusted in “trash-to-steam” electric power plants), electrical transmission and distribution, and a portion of Other Process Uses of Carbonates (from pollution control equipment installed in electric power plants).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"e CO2 estimates reflect natural gas used to power pipelines, but not electricity. While the operation of pipelines produces CH4 and N2O, these emissions are not directly attributed to pipelines in the Inventory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f Emissions from International Bunker Fuels include emissions from both civilian and military activities; these emissions are not included in the transportation totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"g Ethanol and biodiesel CO2 estimates are presented for informational purposes only. See Section 3.11 and the estimates in Land Use, Land-Use Change, and Forestry (see Chapter 6), in line with IPCC methodological guidance and UNFCCC reporting obligations, for more information on ethanol and biodiesel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Notes: Passenger cars and light-duty trucks include vehicles typically used for personal travel and less than 8,500 lbs; medium- and heavy-duty trucks include vehicles larger than 8,500 lbs. HFC emissions primarily reflect HFC-134a. Totals may not sum due to independent rounding. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
