Table 2-6:  Emissions from Industrial Processes and Product Use (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Lead Production,0.5,0.5 ,0.5 ,0.5 ,0.5 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.5 ,0.6 ,0.6 ,0.6 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5,0.5,0.5,0.5,0.5
,Silicon Carbide Production and Consumption,0.4,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,0.2 ,0.2 ,0.2 ,0.2,0.2,0.2,0.2,0.2
,Magnesium Production and Processing,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,CH4,0.3,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.2,0.2,0.3,0.3
,Petrochemical Production,0.2,0.2 ,0.2 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.3 ,0.3 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,+ ,0.1 ,+ ,+ ,+ ,+ ,0.1 ,0.1,0.1,0.2,0.2,0.3
,Ferroalloy Production,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Silicon Carbide Production and Consumption,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Iron and Steel Production & Metallurgical Coke Production,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Iron and Steel Production,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Metallurgical Coke Production,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
,N2O,33.3,32.7 ,31.0 ,32.7 ,33.2 ,36.8 ,37.2 ,30.6 ,26.1 ,25.1 ,25.4 ,22.0 ,22.9 ,22.8 ,21.0 ,24.9 ,26.1 ,30.0 ,20.2 ,18.6 ,22.2 ,27.6 ,22.4 ,21,22.8,22.3,23.6,22.6
,Nitric Acid Production,12.1,12.1 ,12.4 ,12.6 ,13.3 ,13.5 ,14.1 ,14.4 ,14.2 ,13.7 ,13.3 ,10.8 ,11.7 ,11.0 ,10.9 ,11.3 ,11.1 ,13.2 ,11.3 ,9.6 ,11.5 ,10.9 ,10.5 ,10.7,10.9,11.6,10.1,9.3
,Adipic Acid Production,15.2,14.9 ,13.0 ,13.9 ,13.5 ,16.9 ,16.7 ,9.4 ,5.1 ,4.7 ,5.3 ,4.5 ,4.9 ,5.5 ,3.7 ,7.1 ,8.6 ,10.3 ,2.5 ,2.7 ,4.2 ,10.2 ,5.5 ,3.9,5.4,4.3,7,7.4
,N2O from Product Uses,4.2,4.1 ,3.9 ,4.4 ,4.4 ,4.4 ,4.4 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.2 ,4.2 ,4.2 ,4.2 ,4.2 ,4.2 ,4.2 ,4.2 ,4.2 ,4.2 ,4.2 ,4.2,4.2,4.2,4.2,4.2
,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",1.7,1.6 ,1.7 ,1.7 ,1.9 ,1.9 ,1.9 ,2.0 ,2.0 ,2.0 ,2.0 ,1.9 ,2.0 ,2.0 ,2.1 ,2.1 ,2.1 ,2.2 ,2.0 ,1.9 ,2.1 ,2.0 ,2.0 ,2,2,2,2,1.4
,Semiconductor Manufacturing,+ ,+ ,+ ,+ ,+ ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2,0.2,0.2,0.2,0.2
,HFCs,46.6,42.2 ,48.0 ,48.2 ,54.1 ,73.5 ,83.4 ,94.0 ,113.5 ,110.7 ,115.7 ,111.0 ,117.7 ,110.1 ,120.0 ,122.3 ,126.0 ,136.9 ,140.4 ,138.3 ,145.6 ,148.3 ,146.4 ,146.1,150.7,153.8,155,158.3
,Substitution of Ozone Depleting Substancesa,0.3,0.6 ,1.8 ,6.0 ,13.9 ,31.4 ,43.6 ,55.5 ,63.0 ,71.7 ,79.2 ,85.8 ,90.8 ,94.4 ,97.9 ,102.1 ,108.2 ,115.1 ,123.0 ,131.3 ,137.4 ,139.2 ,140.6 ,141.7,145.2,149.2,151.7,152.7
