Table 2-4:  Emissions from Energy (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,N2O,67.6,69.3,72.6,75.4,77.8,79.6,81.6,82.9,83.6,81.2,81.6,78.3,77.4,76.4,75.3,73.7,71.2,67.6,64.7,60.6,62.2,59.6,54.6,55.2,53.5,49.7,48.3,45.9
,Stationary Combustion,25.1,25,25.3,26.1,26.6,26.8,27.5,28,28.3,28.4,29.8,29.4,30.5,31.8,33.1,34.3,34,34.4,34,31.6,34.2,32.9,30.3,32.7,33,30.6,30.1,28.6
,Mobile Combustion,42,43.9,46.9,48.9,50.8,52.3,53.6,54.5,54.9,52.5,51.4,48.5,46.5,44.2,41.8,39,36.7,32.8,30.3,28.7,27.6,26.3,23.9,22.1,20.2,18.8,17.9,16.9
,Incineration of Waste,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Petroleum Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Natural Gas Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,0.9,1,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,1,1,1,1,0.9,1,1,0.9,0.9,0.9,0.9,1,1
,Total,5339.8,5300.8,5399.8,5496.2,5585.2,5631.4,5817.7,5887.8,5931.3,6001.8,6168.6,6090.4,6121.8,6174.2,6280,6308,6223.9,6291.2,6117.2,5713.9,5894.4,5751.1,5538.3,5695,5736.4,5584.7,5465.3,5424.8
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Emissions from Wood Biomass and Biofuel Consumption are not included specifically in summing energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Emissions from International Bunker Fuels are not included in totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
