Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Ferroalloy Production,"2,152","1,929","1,957","1,904","2,021","2,036","2,133","2,226","2,218","2,185","1,893","1,459","1,349","1,305","1,419","1,392","1,505","1,552","1,599","1,469","1,663","1,735","1,903","1,785","1,914","1,960","1,796","1,975"
,Soda Ash Production,"1,431","1,431","1,451","1,412","1,422","1,607","1,587","1,665","1,607","1,548","1,529","1,500","1,470","1,509","1,607","1,655","1,626","1,675","1,733","1,470","1,548","1,607","1,665","1,694","1,685","1,714","1,723","1,753"
,Titanium Dioxide Production,"1,195","1,211","1,392","1,416","1,526","1,526","1,514","1,677","1,662","1,693","1,752","1,697","1,824","1,839","2,064","1,755","1,836","1,930","1,809","1,648","1,769","1,729","1,528","1,715","1,688","1,635","1,662","1,688"
,Glass Production,"1,535","1,439","1,540","1,626","1,735","1,823","1,677","1,618","1,543","1,357","1,686","1,386","1,741","1,623","1,642","1,928","2,050","1,536","1,523","1,045","1,481","1,299","1,248","1,317","1,336","1,299","1,249","1,315"
,Aluminum Production,"6,831","6,945","6,804","6,211","5,539","5,659","5,987","6,019","6,191","6,286","6,086","4,382","4,491","4,502","4,231","4,142","3,801","4,251","4,477","3,009","2,722","3,292","3,439","3,255","2,833","2,767","1,334","1,205"
,Phosphoric Acid Production,"1,529","1,398","1,509","1,304","1,519","1,513","1,551","1,544","1,593","1,539","1,382","1,264","1,338","1,382","1,395","1,342","1,160","1,203","1,132",977,"1,087","1,171","1,118","1,149","1,038",999,998,"1,023"
,Zinc Production,632,809,843,931,918,865,925,971,885,865,944,713,746,"1,096","1,030","1,030","1,030","1,025","1,159",943,"1,182","1,286","1,486","1,429",956,933,925,"1,009"
,Lead Production,516,485,488,486,507,553,563,585,588,587,594,563,561,574,546,553,560,562,547,525,542,538,527,546,459,473,450,455
,Silicon Carbide Production and Consumption,375,287,313,297,325,329,332,347,373,301,248,199,183,202,224,219,207,196,175,145,181,170,158,169,173,180,174,186
,Abandoned Oil and Gas Wells,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,Magnesium Production and Processing,1,1,1,1,1,1,2,2,2,2,2,3,3,3,2,3,3,3,2,1,1,3,2,2,2,3,3,3
,"Wood Biomass, Ethanol, and Biodiesel Consumptiona","219,413","220,165","230,609","225,797","232,298","236,907","241,332","235,579","218,236","221,493","227,435","203,427","204,703","209,935","225,419","230,700","236,298","244,574","257,532","253,936","290,647","296,152","289,598","315,545","323,187","317,742","317,191","322,225"
,International Bunker Fuelsb,"103,463","117,569","107,863","97,829","96,689","98,492","99,750","106,961","110,491","102,733","101,726","93,731","94,443","98,310","108,391","113,139","114,116","115,345","114,342","106,410","116,992","111,660","105,805","99,763","103,400","110,887","116,594","120,107"
,CH4c,"31,194","31,375","31,327","30,812","31,006","30,714","30,380","29,797","29,185","28,698","28,372","28,157","27,798","27,817","27,502","27,657","27,679","27,784","28,092","27,707","27,898","27,022","26,615","26,522","26,483","26,456","26,196","26,253"
,Enteric Fermentation,"6,566","6,576","6,767","6,864","6,989","7,146","7,100","6,965","6,891","6,897","6,824","6,784","6,794","6,801","6,674","6,755","6,863","6,979","6,954","6,920","6,853","6,757","6,670","6,620","6,568","6,661","6,875","7,018"
,Natural Gas Systems,"7,723","7,829","7,762","7,760","7,768","7,490","7,366","7,302","7,108","7,053","6,967","7,047","6,906","6,846","6,811","6,856","6,932","6,827","6,937","6,622","6,535","6,555","6,486","6,624","6,603","6,686","6,629","6,624"
,Landfills,"7,182","7,267","7,255","7,169","7,159","6,967","6,822","6,444","6,054","5,786","5,656","5,472","5,394","5,496","5,395","5,256","5,171","5,087","5,004","4,920","4,963","4,614","4,662","4,517","4,502","4,448","4,319","4,309"
,Manure Management,"1,486","1,555","1,500","1,569","1,678","1,731","1,696","1,771","1,923","1,936","1,955","2,031","2,074","2,097","2,033","2,150","2,165","2,347","2,302","2,254","2,328","2,360","2,426","2,322","2,311","2,435","2,461","2,467"
,Coal Mining,"3,860","3,727","3,626","3,091","3,104","3,056","3,038","3,017","3,029","2,848","2,730","2,720","2,552","2,559","2,611","2,565","2,622","2,591","3,026","3,194","3,293","2,849","2,658","2,584","2,583","2,449","2,154","2,227"
,Petroleum Systems,"1,682","1,676","1,622","1,571","1,538","1,514","1,515","1,536","1,469","1,400","1,425","1,447","1,414","1,436","1,439","1,469","1,510","1,521","1,567","1,418","1,480","1,555","1,558","1,665","1,682","1,579","1,528","1,506"
,Wastewater Treatment,611,622,633,634,642,637,635,640,641,644,640,629,629,622,615,616,615,615,616,604,598,590,581,572,572,579,568,568
,Rice Cultivation,641,673,675,678,594,631,639,632,644,723,731,622,659,572,565,667,515,558,460,578,635,564,453,462,510,493,549,454
,Stationary Combustion,344,351,363,340,332,332,345,312,286,292,308,289,291,302,309,313,293,310,318,319,339,332,303,350,355,340,318,312
,Abandoned Oil and Gas Wells,262,264,266,267,269,270,271,272,273,274,276,276,277,277,277,277,278,278,278,279,280,280,281,282,283,285,289,277
,Abandoned Underground Coal Mines,288,294,317,328,387,392,403,360,329,332,350,319,293,286,276,264,261,254,253,254,263,257,249,249,253,256,268,257
,Mobile Combustion,518,510,509,500,498,494,487,481,470,438,433,445,437,434,408,384,369,330,287,260,244,224,198,181,163,143,135,128
,Composting,15,17,20,25,31,35,40,44,48,53,60,60,61,69,74,75,75,79,80,75,73,75,77,81,84,85,85,86
,Petrochemical Production,9,9,9,11,12,12,13,14,14,13,12,8,8,8,7,3,2,2,2,2,2,2,3,3,5,7,10,10
,Field Burning of Agricultural Residues,4,3,2,3,4,3,6,4,4,4,3,4,7,9,6,7,6,6,7,7,10,7,8,8,8,8,8,8
,Ferroalloy Production,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1,+ ,1,1,1,1
