Table 6-69:  Net CO2 Flux from Soil C Stock Changes in Settlements Remaining Settlements (MMT C),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Organic Soils,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3
+ Does not exceed 0.05 MMT C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
