Table 6-7:  Land Use and Land-Use Change for the U.S. Managed Land Base for All 50 States (Thousands of Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Land-Use & Land-Use Change Categoriesa,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013b,2014b,2015b,2016b,2017b
,OS,58,66,73,91,103,116,133,144,157,167,179,183,191,192,193,199,207,208,205,201,195,189,190,190,190,190,190,190
,Total Other Land,"21,945","22,004","22,055","22,020","21,976","22,007","22,082","22,122","22,199","22,269","22,207","22,283","22,313","22,434","22,489","22,585","22,654","22,717","22,715","22,708","22,701","22,709","22,764","22,764","22,765","22,775","22,780","22,780"
,OO,"21,026","21,013","20,996","20,946","20,879","20,857","20,838","20,811","20,752","20,759","20,708","20,687","20,681","20,759","20,672","20,737","20,733","20,710","20,710","20,714","20,760","20,750","20,772","20,771","20,776","20,787","20,793","20,793"
,FO,51,50,52,45,47,50,54,54,58,62,67,69,69,71,75,77,77,81,83,84,88,90,90,90,86,85,84,84
,CO,300,330,365,372,381,398,426,445,474,485,455,493,509,527,558,613,651,696,699,677,681,678,679,679,679,679,679,679
,GO,481,521,542,559,578,612,675,723,808,856,869,923,942,964,"1,008",982,"1,014","1,051","1,047","1,057","1,048","1,070","1,109","1,109","1,109","1,109","1,109","1,109"
,WO,82,85,95,93,86,85,84,84,103,103,103,106,107,108,170,168,169,169,166,163,110,108,102,102,102,102,102,102
,SO,5,5,5,5,5,5,5,6,4,4,4,5,5,5,5,9,10,10,11,13,14,13,13,13,13,13,13,13
,Grand Total,"889,923","889,923","889,923","889,923","889,923","889,923","889,923","889,923","889,921","889,920","889,920","889,920","889,920","889,920","889,916","889,913","889,909","889,906","889,903","889,900","889,898","889,897","889,896","889,895","889,895","889,895","889,895","889,895"
,"a The abbreviations are “F” for Forest Land, “C” for Cropland, “G” for Grassland, “W” for Wetlands, “S” for Settlements, and “O” for Other Lands. Lands remaining in the same land-use category are identified with the land-use abbreviation given twice (e.g., “FF” is Forest Land Remaining Forest Land), and land-use change categories are identified with the previous land use abbreviation followed by the new land-use abbreviation (e.g., “CF” is Cropland Converted to Forest Land).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b The land use data for 2013 to 2017 were only partially updated based on new Forest Inventory and Analysis (FIA) data.  In addition, there were no new data incorporated for Alaska.  New activity data for the National Resources Inventory (NRI) and National Land Cover Dataset (NLCD will be incorporated for the next (i.e., 1990 through 2018) Inventory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Notes: All land areas reported in this table are considered managed. A planned improvement is underway to deal with an exception for Wetlands, which based on the definitions for the current U.S. Land Representation Assessment includes both managed and unmanaged lands. U.S. Territories have not been classified into land uses and are not included in the U.S. Land Representation Assessment. See the Planned Improvements section for discussion on plans to include territories in future Inventories. In addition, C stock changes are not currently estimated for the entire land base, which leads to discrepancies between the managed land area data presented here and in the subsequent sections of the Inventory. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
