Table 6-26:  Net CO2 Flux from Forest C Pools in Land Converted to Forest Land by Land Use Change Category (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Use/Carbon Pool,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belowground Biomass,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9
Dead Wood,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8
Litter,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7
Mineral Soil,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Wetlands Converted to Forest Land,-1.4,-1.4,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5
Aboveground Biomass,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
Belowground Biomass,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Dead Wood,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Litter,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
Mineral Soil,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Total Aboveground Biomass Flux,-66.8,-66.9,-66.9,-67.0,-67.0,-67.1,-67.1,-67.1,-67.2,-67.2,-67.3,-67.3,-67.4,-67.4,-67.5,-67.5,-67.5,-67.6,-67.6,-67.7,-67.7,-67.7,-67.8,-67.8,-67.9,-67.9,-67.9,-67.9
Total Belowground Biomass Flux,-12.9,-12.9,-12.9,-12.9,-12.9,-12.9,-12.9,-12.9,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.1,-13.1,-13.1,-13.1,-13.1,-13.1,-13.1,-13.1
Total Dead Wood Flux,-14.1,-14.1,-14.1,-14.1,-14.1,-14.1,-14.1,-14.2,-14.2,-14.2,-14.2,-14.2,-14.2,-14.2,-14.2,-14.2,-14.2,-14.2,-14.2,-14.3,-14.3,-14.3,-14.3,-14.3,-14.3,-14.3,-14.3,-14.3
Total Litter Flux,-25.0,-25.1,-25.1,-25.1,-25.1,-25.1,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-25.3,-25.3,-25.3,-25.3,-25.3,-25.3,-25.4,-25.4,-25.4,-25.4,-25.4,-25.4,-25.5,-25.5,-25.5,-25.5
Total Mineral Soil Flux,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,(+),(+),(+),(+),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.1,+ ,0.1
Total Flux,-119.1,-119.1,-119.1,-119.2,-119.3,-119.4,-119.5,-119.5,-119.5,-119.6,-119.7,-119.7,-119.8,-119.8,-119.9,-120.0,-120.1,-120.1,-120.1,-120.2,-120.3,-120.4,-120.4,-120.5,-120.5,-120.6,-120.6,-120.6
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate net uptake. These estimates only include land conversions in the CONUS–land conversions in Alaska and Hawaii were not included in this Inventory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
