Table 6-50: Peat Production Area (Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Total Area of Peat Production," 7,206 "," 6,646 "," 6,329 "," 6,426 "," 5,931 "," 6,560 "," 5,573 "," 6,745 "," 7,003 "," 7,374 "," 7,984 "," 7,425 "," 6,482 "," 6,407 "," 7,354 "," 6,954 "," 5,640 "," 6,492 "," 6,308 "," 6,518 "," 6,410 "," 5,828 "," 5,122 "," 4,860 "," 4,884 "," 4,759 "," 4,611 "," 4,601 "
,Area of Nutrient-Rich Production, 554 , 379 , 300 , 801 , 861 ," 1,166 ", 714 , 992 ," 1,713 "," 1,828 ", 634 , 442 , 642 , 254 , 292 , 274 , 220 , 540 , 554 , 487 , 691 , 568 , 781 , 465 , 515 , 501 , 529 , 660 
