 Table 6-17:  Non-CO2 Emissions from Forest Fires (MMT CO2 Eq.)a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017b
,CH4,1.5,1.4,1.8,0.5,4.5,0.6,3.6,0.4,1.5,3.1,7.5,2.3,8.8,6.5,7.5,5.2,6.2,8.0,6.0,4.6,3.3,4.3,8.9,6.1,6.1,12.6,4.9,4.9
,N2O,1.0,0.9,1.2,0.3,3.0,0.4,2.3,0.2,1.0,2.0,4.9,1.5,5.8,4.3,4.9,3.4,4.1,5.3,4.0,3.0,2.2,2.8,5.8,4.0,4.0,8.3,3.2,3.2
,Total,2.4,2.3,3.0,0.8,7.5,1.0,5.9,0.6,2.4,5.1,12.4,3.9,14.5,10.7,12.4,8.6,10.4,13.3,10.0,7.6,5.4,7.1,14.7,10.2,10.1,20.8,8.0,8.0
,a These estimates include Non-CO2 Emissions from Forest Fires on Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b The data for 2017 were unavailable when these estimates were developed, therefore 2016, the most recent available estimate, is applied to 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
