Table ES-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Titanium Dioxide Production,1.2,1.2,1.4,1.4,1.5,1.5,1.5,1.7,1.7,1.7,1.8,1.7,1.8,1.8,2.1,1.8,1.8,1.9,1.8,1.6,1.8,1.7,1.5,1.7,1.7,1.6,1.7,1.7
,Glass Production,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.6,1.5,1.4,1.7,1.4,1.7,1.6,1.6,1.9,2.1,1.5,1.5,1,1.5,1.3,1.2,1.3,1.3,1.3,1.2,1.3
,Aluminum Production,6.8,6.9,6.8,6.2,5.5,5.7,6,6,6.2,6.3,6.1,4.4,4.5,4.5,4.2,4.1,3.8,4.3,4.5,3,2.7,3.3,3.4,3.3,2.8,2.8,1.3,1.2
,Phosphoric Acid Production,1.5,1.4,1.5,1.3,1.5,1.5,1.6,1.5,1.6,1.5,1.4,1.3,1.3,1.4,1.4,1.3,1.2,1.2,1.1,1,1.1,1.2,1.1,1.1,1,1,1,1
,Zinc Production,0.6,0.8,0.8,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,0.7,0.7,1.1,1,1,1,1,1.2,0.9,1.2,1.3,1.5,1.4,1,0.9,0.9,1
,Lead Production,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Silicon Carbide Production and Consumption,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Abandoned Oil and Gas Wells,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Magnesium Production and Processing,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,"Wood Biomass, Ethanol, and Biodiesel Consumptiona",219.4,220.2,230.6,225.8,232.3,236.9,241.3,235.6,218.2,221.5,227.4,203.4,204.7,209.9,225.4,230.7,236.3,244.6,257.5,253.9,290.6,296.2,289.6,315.5,323.2,317.7,317.2,322.2
,International Bunker Fuelsb,103.5,117.6,107.9,97.8,96.7,98.5,99.7,107,110.5,102.7,101.7,93.7,94.4,98.3,108.4,113.1,114.1,115.3,114.3,106.4,117,111.7,105.8,99.8,103.4,110.9,116.6,120.1
,CH4c,779.8,784.4,783.2,770.3,775.2,767.8,759.5,744.9,729.6,717.5,709.3,703.9,695,695.4,687.5,691.4,692,694.6,702.3,692.7,697.5,675.5,665.4,663,662.1,661.4,654.9,656.3
,Enteric Fermentation,164.2,164.4,169.2,171.6,174.7,178.7,177.5,174.1,172.3,172.4,170.6,169.6,169.8,170,166.8,168.9,171.6,174.5,173.8,173,171.3,168.9,166.7,165.5,164.2,166.5,171.9,175.4
,Natural Gas Systems,193.1,195.7,194.1,194,194.2,187.2,184.1,182.6,177.7,176.3,174.2,176.2,172.6,171.1,170.3,171.4,173.3,170.7,173.4,165.5,163.4,163.9,162.2,165.6,165.1,167.2,165.7,165.6
,Landfills,179.6,181.7,181.4,179.2,179,174.2,170.6,161.1,151.4,144.7,141.4,136.8,134.9,137.4,134.9,131.4,129.3,127.2,125.1,123,124.1,115.4,116.6,112.9,112.5,111.2,108,107.7
,Manure Management,37.1,38.9,37.5,39.2,42,43.3,42.4,44.3,48.1,48.4,48.9,50.8,51.9,52.4,50.8,53.7,54.1,58.7,57.5,56.4,58.2,59,60.6,58.1,57.8,60.9,61.5,61.7
,Coal Mining,96.5,93.2,90.7,77.3,77.6,76.4,76,75.4,75.7,71.2,68.3,68,63.8,64,65.3,64.1,65.6,64.8,75.6,79.9,82.3,71.2,66.5,64.6,64.6,61.2,53.8,55.7
,Petroleum Systems,42.1,41.9,40.6,39.3,38.5,37.8,37.9,38.4,36.7,35,35.6,36.2,35.3,35.9,36,36.7,37.8,38,39.2,35.4,37,38.9,38.9,41.6,42.1,39.5,38.2,37.7
,Wastewater Treatment,15.3,15.5,15.8,15.9,16.1,15.9,15.9,16,16,16.1,16,15.7,15.7,15.5,15.4,15.4,15.4,15.4,15.4,15.1,14.9,14.7,14.5,14.3,14.3,14.5,14.2,14.2
,Rice Cultivation,16,16.8,16.9,16.9,14.8,15.8,16,15.8,16.1,18.1,18.3,15.6,16.5,14.3,14.1,16.7,12.9,13.9,11.5,14.5,15.9,14.1,11.3,11.5,12.7,12.3,13.7,11.3
,Stationary Combustion,8.6,8.8,9.1,8.5,8.3,8.3,8.6,7.8,7.1,7.3,7.7,7.2,7.3,7.6,7.7,7.8,7.3,7.7,8,8,8.5,8.3,7.6,8.7,8.9,8.5,7.9,7.8
,Abandoned Oil and Gas Wells,6.6,6.6,6.6,6.7,6.7,6.8,6.8,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,7,7,7,7,7,7,7.1,7.1,7.2,6.9
