Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average Annual Change
,Petroleum Systems,1.3,1.2,1.1,0.9,0.8,0.7,0.7,0.6,0.4,0.1,+,-0.1,-0.2,-0.3,-0.3,-0.1,-0.2,-0.2,-0.1,-0.3,-0.2,0.8,1.8,2.5,3.3,2.9,-0.6,0.6
,Abandoned Oil and Gas Wells,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Magnesium Production and Processing,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Liming,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,-0.7,+
,Urea Fertilization,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,-0.2,-0.2,+
,"Wood Biomass, Ethanol, and Biodiesel Consumptiona",NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,International Bunker Fuelsa,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.4,10.4,7.7,1.9,-0.9,-1.1,7.3,7.9,1.2
,CH4,-0.1,-0.2,-0.4,0.3,0.6,0.6,0.8,1.6,1,-0.1,0.1,0.9,0.9,1.7,3.1,2.8,3.4,4.7,4.5,0.7,3.8,3.1,2.9,0.5,-1.9,-4,-2.5,1.1
,Stationary Combustion,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.7,0.6,0.2,+,+,0.6,0.6,0.1
,Mobile Combustion,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,+,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,0.1
,Coal Mining,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+
,Abandoned Underground Coal Mines,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Natural Gas Systems,-2.1,-2.1,-2.2,-1.3,-0.9,-0.8,-0.8,-0.5,0.1,+,-0.4,+,0.5,0.6,1.9,2.3,2,3.5,2.7,1.9,3,1.3,2.6,1.8,0.8,0.9,2.2,0.6
,Petroleum Systems,2.2,2.2,2.1,1.9,1.7,1.6,2,2.7,1.8,1.1,1.9,2.6,2.3,3.1,3.6,4.6,5.7,6,7.1,4.2,5.3,6.5,6.3,5.1,3.5,1.4,-0.4,3.3
,Abandoned Oil and Gas Wells,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+,+,+,+,+,0.1,0.1
,Petrochemical Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Silicon Carbide Production and Consumption,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Iron and Steel Production & Metallurgical Coke Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Ferroalloy Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Enteric Fermentation,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,1.8,0.1
,Manure Management,+,+,+,+,+,+,-0.2,-0.4,-0.7,-0.9,-1.1,-1.4,-1.7,-1.9,-2.2,-2.6,-2.8,-3.3,-3.8,-4,-3.8,-4,-5,-5.2,-5.1,-5.4,-6.2,-2.3
,Rice Cultivation,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Field Burning of Agricultural Residues,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,+,-0.1,+,-0.1,-0.1,-0.1,-0.1,+,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
,Landfills,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,-1.3,-1.2,-1.1,-1,-0.8,-0.7,-0.5,-0.4,-0.3,-0.2,-0.5,0.3,-0.3
