Table 7-3:  CH4 Emissions from Landfills (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,MSW CH4 Generation,205.3,211,215.6,219.8,224.3,228.5,231.8,234.8,238,242.4,246.8,252.1,256.7,261.9,266.7,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   
,Industrial CH4 Generation,12.1,12.3,12.5,12.8,13.1,13.4,13.8,14.1,14.4,14.7,15,15.3,15.4,15.6,15.7,15.9,16,16.1,16.2,16.3,16.4,16.4,16.5,16.5,16.6,16.6,16.6,16.6
,MSW CH4 Recovered,-17.9,-21.5,-26.6,-33.4,-38.5,-48.4,-56.1,-69.9,-84.3,-96.4,-104.6,-115.4,-122.3,-124.9,-132.6,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   
,MSW CH4 Oxidized,-18.7,-19,-18.9,-18.6,-18.6,-18,-17.6,-16.5,-15.4,-14.6,-14.2,-13.7,-13.4,-13.7,-13.4,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   ,          -   
,Industrial CH4 Oxidized,-1.2,-1.2,-1.3,-1.3,-1.3,-1.3,-1.4,-1.4,-1.4,-1.5,-1.5,-1.5,-1.5,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.7,-1.7,-1.7,-1.7,-1.7
,MSW net CH4 Emissions (GHGRP),           -   ,           -   ,           -   ,           -   ,           -   ,           -   ,           -   ,           -   ,           -   ,           -   ,           -   ,           -   ,           -   ,           -   ,           -   ,117.1,114.9,112.7,110.5,108.3,109.3,100.6,101.7,98.1,97.6,96.3,93,92.8
,Total,179.6,181.7,181.4,179.2,179,174.2,170.6,161.1,151.4,144.7,141.4,136.8,134.9,137.4,134.9,131.4,129.3,127.2,125.1,123,124.1,115.4,116.6,112.9,112.5,111.2,108,107.7
,“-” Not applicable due to methodology change. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Note: Totals may not sum due to independent rounding. Parentheses indicate negative values. For years 1990 to 2004, the Inventory methodology uses the first order decay methodology. A methodological change occurs in year 2005. For years 2005 to 2017, directly reported net CH4 emissions from the GHGRP data plus a scale-up factor are used to account for emissions from landfill facilities that are not subject to the GHGRP. These data incorporate CH4 recovered and oxidized. As such, CH4 generation, CH4 recovery, and CH4 oxidized are not calculated separately for 2005 to 2017. See the Time-Series Consistency section of this chapter for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
