Table 5-8:  Approach 2 Quantitative Uncertainty Estimates for CH4 and N2O (Direct and Indirect) Emissions from Manure Management (MMT CO2 Eq. and Percent),,,,,,
,,,,,,
Source,Gas,2017 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,(MMT CO2 Eq.),(MMT CO2 Eq.),(MMT CO2 Eq.),(%),(%)
,,,Lower,Upper,Lower,Upper
,,,Bound,Bound,Bound,Bound
Manure Management,CH4,61.7,50.6,74,-18%,20%
Manure Management,N2O,18.7,15.7,23.2,-16%,24%
a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,
