Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013a,2014a,2015a,2016a,2017a
Commercial Aircraftg,109.9,103.3 ,105.5 ,108.7 ,113.5 ,115.2 ,118.6 ,122.9 ,119.7 ,130.3 ,139.3 ,124.6 ,121.3 ,122.9 ,124.8 ,132.7,137.0 ,139.7 ,127.3 ,119.5 ,113.3 ,114.6 ,113.3 ,114.3,115.2,119,120.4,128
Military Aircraft,35,34.1 ,27.9 ,27.2 ,24.7 ,24.3 ,24.4 ,22.4 ,22.7 ,22.0 ,22.6 ,24.2 ,21.7 ,22.0 ,22.5 ,19.4,17.8 ,17.8 ,17.6 ,15.4 ,13.6 ,11.6 ,12.1 ,11,14,13.5,12.3,12.2
General Aviation Aircraft,39.4,31.4 ,33.2 ,32.3 ,37.3 ,32.7 ,41.5 ,39.2 ,46.0 ,40.1 ,33.0 ,40.8 ,42.3 ,34.4 ,39.3 ,37.3,27.5 ,22.0 ,28.2 ,19.2 ,24.6 ,20.4 ,18.0 ,21.8,19.2,25.1,33.4,31.5
International Bunker Fuelsf,38,46.3 ,46.8 ,46.9 ,48.3 ,49.9 ,51.0 ,54.5 ,54.1 ,57.6 ,62.0 ,56.4 ,54.6 ,55.2 ,56.2 ,60.1,60.3 ,61.5 ,56.1 ,52.8 ,61.0 ,64.8 ,64.5 ,65.7,69.6,71.9,74.1,77.7
International Bunker Fuels from Commercial Aviation ,30,38.3 ,40.2 ,40.5 ,42.6 ,44.4 ,45.8 ,49.7 ,49.2 ,52.8 ,57.4 ,51.3 ,49.9 ,50.6 ,51.4 ,55.6,56.4 ,57.5 ,52.4 ,49.2 ,57.4 ,61.7 ,61.4 ,62.8,66.3,68.6,70.8,74.5
Aviation Gasoline,3.1,2.9 ,2.8 ,2.7 ,2.6 ,2.7 ,2.6 ,2.7 ,2.5 ,2.7 ,2.5 ,2.4 ,2.3 ,2.1 ,2.2 ,2.4,2.3 ,2.2 ,2.0 ,1.8 ,1.9 ,1.9 ,1.7 ,1.5,1.5,1.5,1.4,1.4
General Aviation Aircraft,3.1,2.9 ,2.8 ,2.7 ,2.6 ,2.7 ,2.6 ,2.7 ,2.5 ,2.7 ,2.5 ,2.4 ,2.3 ,2.1 ,2.2 ,2.4,2.3 ,2.2 ,2.0 ,1.8 ,1.9 ,1.9 ,1.7 ,1.5,1.5,1.5,1.4,1.4
Residual Fuel Oil,22.6,77.0 ,80.3 ,67.7 ,66.3 ,29.1 ,63.9 ,53.4 ,50.6 ,50.0 ,33.3 ,44.0 ,50.8 ,42.9 ,55.5 ,19.3,23.0 ,29.0 ,20.4 ,13.9 ,20.4 ,19.4 ,15.8 ,15.1,5.8,4.2,12.9,16.5
Ships and Boatse,22.6,16.9 ,30.0 ,27.6 ,26.9 ,29.1 ,23.6 ,10.3 ,5.9 ,13.2 ,33.3 ,12.0 ,17.1 ,7.4 ,14.0 ,19.3,23.0 ,29.0 ,20.4 ,13.9 ,20.4 ,19.4 ,15.8 ,15.1,5.8,4.2,12.9,16.5
International Bunker Fuelsf,53.7,60.2 ,50.3 ,40.1 ,39.4 ,39.3 ,40.3 ,43.2 ,44.7 ,36.8 ,33.3 ,32.0 ,33.7 ,35.4 ,41.5 ,43.6,45.0 ,45.6 ,49.2 ,45.4 ,46.5 ,38.9 ,34.5 ,28.5,27.7,30.6,33.8,33.4
