Table 3-47:  HF Oil Well Completions National CO2 Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,HF Completions: Non-REC with Venting,2.5,2.6,2.5,2.4,2.1,2.0,2.3,3.0,1.9,1.1,1.9,2.6,2.1,2.9,3.2,4,5.0,5.3,6.3,3.3,4.7,6.1,6.5,5.3,4,1.4,0.2,0.2
,HF Completions: Non-REC with Flaring,79,79,78,75,66,62,70,93,60,34,58,80,66,90,98,123,155,163,225,139,233,374,507,547,610,395,223,410
,HF Completions: REC with Venting,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.1
,HF Completions: REC with Flaring,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,131,158,384,800,"1,316","1,661","2,104","1,517",939,"1,209"
,Total Emissions,81.2, 81 , 81 , 77 , 68 , 64 , 72 , 96 , 62 , 36 , 60 , 83 , 68 , 93 , 101 ,126.5, 160 , 168 , 363 , 300 , 622 ," 1,180 "," 1,830 ","2,214","2,719","1,913","1,162","1,619"
,Previous Estimate,1.2, 1.1 , 1.1 , 1.1 , 1.0 , 0.9 , 1.0 , 1.3 , 0.9 , 0.5 , 0.8 , 1.2 , 0.9 , 1.3 , 1.4 ,1.7, 2.3 , 2.4 , 2.9 , 1.8 , 2.9 , 4.4 , 5.8 ,6.1,6.7,4.4,4.4,NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,
