Table 3-52:  Quantity of CO2 Captured and Extracted for EOR Operations (MMT CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Capture Facilities,4.8,4.8,4.8,4.4,4.7,4.3,3,2.6,2.6,3.3,2.9,3.6,3.6,3.7,4.4,6.5,6.9,7.1,7.2,7.6,9.9,9.9,9.3,12.2,13.1,13.1,13.1,13.1
,Extraction Facilities,20.8,20.6,20.8,20.3,22.8,22.5,24.9,25,26.6,23.1,23.2,23.5,23,24.5,27.1,28.3,30.2,33.1,36.1,39.7,44.8,48.4,48.9,47,46.2,46.2,46.2,46.2
,Total,25.6,25.5,25.6,24.8,27.5,26.9,27.9,27.7,29.2,26.3,26.1,27.1,26.7,28.1,31.5,34.7,37.1,40.1,43.3,47.3,54.7,58.2,58.1,59.2,59.3,59.3,59.3,59.3
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
