Table 3-46:  HF Oil Well Completions National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,HF Completions: Non-REC with Venting,"110,326","110,690","109,925","105,299","92,806","86,651","97,905","130,832","84,064","48,333","81,624","112,912","92,587","126,388","137,497","171,881","217,628","228,591","273,268","144,159","202,069","264,903","282,688","227,632","171,542","60,488","7,043","2,168"
,HF Completions: Non-REC with Flaring,360,361,358,343,303,282,319,426,274,158,266,368,302,412,448,560,709,745,"1,030",637,"1,066","1,710","2,316","2,502","2,788","1,804","1,018","1,791"
,HF Completions: REC with Venting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,456,"1,111","2,310","3,804","4,800","6,081","4,383","2,714","2,223"
,HF Completions: REC with Flaring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,732,"1,784","3,710","6,108","7,707","9,764","7,037","4,358","6,424"
,Total Emissions,"110,685"," 111,051 "," 110,283 "," 105,642 "," 93,109 "," 86,933 "," 98,224 "," 131,258 "," 84,338 "," 48,491 "," 81,890 "," 113,280 "," 92,889 "," 126,800 "," 137,945 ","172,441"," 218,337 "," 229,336 "," 275,287 "," 145,983 "," 206,029 "," 272,633 "," 294,916 ","242,642","190,175","73,712","15,132","12,606"
,Previous Estimate,"20,796","19,910","20,337","19,883","17,625","16,184","17,807","23,907","15,711","8,988","15,190","20,945","16,840","23,745","25,314","31,070","40,687","42,127","52,577","32,027","51,693","78,923","103,128","109,422","120,925","78,525","78,525",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,
