Table 3-50:  HF Oil Well Workovers National CO2 Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,HF Workovers: Non-REC with Venting,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.7,0.7,0.6,0.5,0.4,0.2,0.1,0
,HF Workovers: Non-REC with Flaring,22.2,23.3,22.5,22.9,22.6,22.0,22.5,22.8,22.3,21.6,22.3,22.7,22.8,23.2,24.1,25,26.0,25.7,28.3,27.0,27.8,28.8,30.3,31.1,32.3,31.1,28.4,26.2
,HF Workovers: REC with Venting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0
,HF Workovers: REC with Flaring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,23.9,39.0,56.9,79.5,104.5,135.5,160.7,178.8,231.3
,Total Emissions,22.9,24.0,23.2,23.6,23.4,22.7,23.3,23.6,23.0,22.3,23.0,23.5,23.5,23.9,24.9,25.8,26.9,26.5,41.1,51.6,67.5,86.4,110.4,136.1,168.3,192.1,207.4,257.5
,Previous Estimatea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Estimate includes emissions for HF and non-HF workovers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
