"Table 3-2:  CO2, CH4, and N2O Emissions from Energy (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,7,7 ,6 ,5 ,5 ,5 ,5 ,5 ,6 ,5 ,4 ,4 ,4 ,4 ,5 ,5,5 ,5 ,6 ,5 ,6 ,5 ,4 ,3,3,3,4,4
,N2O,227,232 ,244 ,253 ,261 ,267 ,274 ,278 ,280 ,273 ,274 ,263 ,260 ,256 ,253 ,247,239 ,227 ,217 ,203 ,209 ,200 ,183 ,185,180,167,162,154
,Stationary Combustion,84,84 ,85 ,87 ,89 ,90 ,92 ,94 ,95 ,95 ,100 ,99 ,102 ,107 ,111 ,115,114 ,116 ,114 ,106 ,115 ,110 ,102 ,110,111,103,101,96
,Mobile Combustion,141,147 ,157 ,164 ,170 ,176 ,180 ,183 ,184 ,176 ,173 ,163 ,156 ,148 ,140 ,131,123 ,110 ,102 ,96 ,93 ,88 ,80 ,74,68,63,60,57
,Incineration of Waste,2,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1,1,1,1,1
,Petroleum Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Natural Gas Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,3,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3,3,3,3,3
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Emissions from Wood Biomass, Ethanol, and Biodiesel Consumption are not included specifically in summing Energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b Emissions from International Bunker Fuels are not included in totals. These values are presented for informational purposes only, in line with the 2006 IPCC Guidelines and UNFCCC reporting obligations.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
