"Table 3-1:  CO2, CH4, and N2O Emissions from Energy (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Petroleum Systems,9,9.2 ,9.2 ,9.3 ,9.5 ,9.7 ,10.1 ,10.6 ,10.6 ,10.2 ,10.5 ,10.6 ,10.7 ,11.0 ,11.2 ,11.6,11.8 ,12.1 ,12.8 ,13.1 ,14.8 ,17.2 ,21.1 ,25.1,29.6,31.7,22.2,23.3
,Incineration of Waste,8,8.0 ,9.5 ,9.8 ,10.8 ,11.3 ,11.9 ,11.8 ,10.8 ,11.0 ,11.1 ,11.4 ,11.8 ,12.1 ,12.4 ,12.5,12.5 ,12.7 ,11.9 ,11.3 ,11.1 ,10.5 ,10.4 ,10.3,10.4,10.7,10.8,10.8
,Abandoned Oil and Gas Wells,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Biomass-Wooda,215.2,215.3 ,225.0 ,219.3 ,225.0 ,229.1 ,235.7 ,228.5 ,210.4 ,213.3 ,218.1 ,193.5 ,192.8 ,193.8 ,205.1 ,206.9,202.9 ,202.3 ,199.9 ,188.6 ,215.5 ,214.9 ,208.3 ,227.3,233.8,224.7,216.3,221.4
,International Bunker Fuelsb,103.5,117.6 ,107.9 ,97.8 ,96.7 ,98.5 ,99.7 ,107.0 ,110.5 ,102.7 ,101.7 ,93.7 ,94.4 ,98.3 ,108.4 ,113.1,114.1 ,115.3 ,114.3 ,106.4 ,117.0 ,111.7 ,105.8 ,99.8,103.4,110.9,116.6,120.1
,Biofuels-Ethanola,4.2,4.9 ,5.6 ,6.5 ,7.3 ,7.8 ,5.6 ,7.1 ,7.8 ,8.2 ,9.3 ,9.8 ,11.7 ,16.0 ,20.1 ,22.9,31.0 ,38.9 ,54.7 ,62.3 ,72.6 ,72.9 ,72.8 ,74.7,76.1,78.9,81.2,82.1
,Biofuels-Biodiesela,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1 ,0.2 ,0.1 ,0.3 ,0.9,2.5 ,3.3 ,2.9 ,3.0 ,2.5 ,8.3 ,8.5 ,13.5,13.3,14.1,19.6,18.7
,CH4,366.9,366.3 ,361.6 ,346.4 ,347.4 ,338.7 ,335.6 ,332.0 ,324.1 ,316.0 ,312.2 ,313.6 ,304.3 ,303.5 ,303.3 ,303.2,306.6 ,302.8 ,316.7 ,308.6 ,310.9 ,301.3 ,293.3 ,298.4,298.1,293.5,283,283.3
,Natural Gas Systems,193.1,195.7 ,194.1 ,194.0 ,194.2 ,187.2 ,184.1 ,182.6 ,177.7 ,176.3 ,174.2 ,176.2 ,172.6 ,171.1 ,170.3 ,171.4,173.3 ,170.7 ,173.4 ,165.5 ,163.4 ,163.9 ,162.2 ,165.6,165.1,167.2,165.7,165.6
,Coal Mining,96.5,93.2 ,90.7 ,77.3 ,77.6 ,76.4 ,76.0 ,75.4 ,75.7 ,71.2 ,68.3 ,68.0 ,63.8 ,64.0 ,65.3 ,64.1,65.6 ,64.8 ,75.6 ,79.9 ,82.3 ,71.2 ,66.5 ,64.6,64.6,61.2,53.8,55.7
,Petroleum Systems,42.1,41.9 ,40.6 ,39.3 ,38.5 ,37.8 ,37.9 ,38.4 ,36.7 ,35.0 ,35.6 ,36.2 ,35.3 ,35.9 ,36.0 ,36.7,37.8 ,38.0 ,39.2 ,35.4 ,37.0 ,38.9 ,38.9 ,41.6,42.1,39.5,38.2,37.7
,Stationary Combustion,8.6,8.8 ,9.1 ,8.5 ,8.3 ,8.3 ,8.6 ,7.8 ,7.1 ,7.3 ,7.7 ,7.2 ,7.3 ,7.6 ,7.7 ,7.8,7.3 ,7.7 ,8.0 ,8.0 ,8.5 ,8.3 ,7.6 ,8.7,8.9,8.5,7.9,7.8
,Abandoned Oil and Gas Wells,6.6,6.6 ,6.6 ,6.7 ,6.7 ,6.8 ,6.8 ,6.8 ,6.8 ,6.9 ,6.9 ,6.9 ,6.9 ,6.9 ,6.9 ,6.9,6.9 ,6.9 ,7.0 ,7.0 ,7.0 ,7.0 ,7.0 ,7,7.1,7.1,7.2,6.9
,Abandoned Underground Coal Mines,7.2,7.3 ,7.9 ,8.2 ,9.7 ,9.8 ,10.1 ,9.0 ,8.2 ,8.3 ,8.8 ,8.0 ,7.3 ,7.2 ,6.9 ,6.6,6.5 ,6.3 ,6.3 ,6.4 ,6.6 ,6.4 ,6.2 ,6.2,6.3,6.4,6.7,6.4
,Mobile Combustion,12.9,12.7 ,12.7 ,12.5 ,12.4 ,12.4 ,12.2 ,12.0 ,11.8 ,11.0 ,10.8 ,11.1 ,10.9 ,10.9 ,10.2 ,9.6,9.2 ,8.2 ,7.2 ,6.5 ,6.1 ,5.6 ,5.0 ,4.5,4.1,3.6,3.4,3.2
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,0.2,0.2 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1,0.1,0.1,0.1
,N2O,67.6,69.3 ,72.6 ,75.4 ,77.8 ,79.6 ,81.6 ,82.9 ,83.6 ,81.2 ,81.6 ,78.3 ,77.4 ,76.4 ,75.3 ,73.7,71.2 ,67.6 ,64.7 ,60.6 ,62.2 ,59.6 ,54.6 ,55.2,53.5,49.7,48.3,45.9
,Stationary Combustion,25.1,25.0 ,25.3 ,26.1 ,26.6 ,26.8 ,27.5 ,28.0 ,28.3 ,28.4 ,29.8 ,29.4 ,30.5 ,31.8 ,33.1 ,34.3,34.0 ,34.4 ,34.0 ,31.6 ,34.2 ,32.9 ,30.3 ,32.7,33,30.6,30.1,28.6
,Mobile Combustion,42,43.9 ,46.9 ,48.9 ,50.8 ,52.3 ,53.6 ,54.5 ,54.9 ,52.5 ,51.4 ,48.5 ,46.5 ,44.2 ,41.8 ,39,36.7 ,32.8 ,30.3 ,28.7 ,27.6 ,26.3 ,23.9 ,22.1,20.2,18.8,17.9,16.9
,Incineration of Waste,0.5,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4,0.4 ,0.4 ,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3,0.3,0.3,0.3,0.3
,Petroleum Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Natural Gas Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,0.9,1.0 ,0.9 ,0.8 ,0.8 ,0.8 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.8 ,0.8 ,0.9 ,0.9 ,1,1.0 ,1.0 ,1.0 ,0.9 ,1.0 ,1.0 ,0.9 ,0.9,0.9,0.9,1,1
,Total,"5,339.80","5,300.8 ","5,399.8 ","5,496.2 ","5,585.2 ","5,631.4 ","5,817.7 ","5,887.8 ","5,931.3 ","6,001.8 ","6,168.6 ","6,090.4 ","6,121.8 ","6,174.2 ","6,280.0 ","6,308.00","6,223.9 ","6,291.2 ","6,117.2 ","5,713.9 ","5,894.4 ","5,751.1 ","5,538.3 ","5,695.00","5,736.40","5,584.70","5,465.30","5,424.80"
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Emissions from Wood Biomass, Ethanol, and Biodiesel Consumption are not included specifically in summing Energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b Emissions from International Bunker Fuels are not included in totals. These values are presented for informational purposes only, in line with the 2006 IPCC Guidelines and UNFCCC reporting obligations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
