Table 3-102:  Approach 2 Quantitative Uncertainty Estimates for CH4 and CO2 Emissions from Petroleum and Natural Gas Systems (MMT CO2 Eq. and Percent),,,,,,,
,,,,,,,
,Source,Gas,2017 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,,(MMT CO2 Eq.)b,(MMT CO2 Eq.),,(%),
,,,,Lower Bound,Upper Bound,Lower Bound,Upper Bound
,Abandoned Oil Wells,CH4 ,5.6,1,17.9,-83%,219%
,Abandoned Gas Wells,CH4 ,1.3,0.2,4.2,-83%,219%
,Abandoned Oil Wells,CO2 ,0.005,0.001,0.015,-83%,219%
,Abandoned Gas Wells,CO2 ,0.002,0.0004,0.007,-83%,219%
,a Range of emission estimates estimated by applying the 95 percent confidence intervals obtained from the Monte Carlo Simulation analysis conducted for total abandoned oil and gas well CH4 emissions in year 2017. ,,,,,,
,"b All reported values are rounded after calculation. As a result, lower and upper bounds may not be duplicable from other rounded values as shown in table.",,,,,,
