Table 3-49:  HF Oil Well Workovers National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,HF Workovers: Non-REC with Venting,"31,119","32,625","31,581","32,121","31,747","30,833","31,612","32,045","31,234","30,335","31,287","31,887","31,937","32,486","33,784","35,018","36,483","35,997","37,291","32,998","31,081","28,776","26,237","22,290","17,601","10,808","3,318",0
,HF Workovers: Non-REC with Flaring,101,106,103,105,103,101,103,104,102,99,102,104,104,106,110,114,119,117,129,123,127,132,138,142,148,142,130,114
,HF Workovers: REC with Venting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,170,278,406,567,745,966,"1,146","1,275",678
,HF Workovers: REC with Flaring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,111,181,264,369,485,629,746,830,"1,229"
,Total Emissions,"31,220","32,731","31,684","32,226","31,850","30,934","31,715","32,150","31,336","30,434","31,389","31,991","32,041","32,592","33,894","35,132","36,602","36,115","37,560","33,402","31,667","29,577","27,311","23,662","19,344","12,842","5,552","2,022"
,Previous Estimatea,77,77,75,74,72,70,70,70,67,64,65,65,64,64,64,65,66,66,70,70,71,73,77,79,82,82,78,NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Estimate includes emissions for HF and non-HF workovers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
