Table 3-40:  CO2 Emissions from Petroleum Systems (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Exploration,321,322,314,307,291,281,288,313,271,237,262,285,268,292,303,331,368,376,582,518,845,"1,410","2,069","2,461","2,976","2,167","1,200","1,657"
,Production ,"5,344","5,629","5,622","5,701","5,809","6,045","6,352","6,664","6,686","6,354","6,519","6,624","6,738","6,911","7,126","7,493","7,720","8,013","8,656","9,058","10,158","12,002","15,644","19,059","23,201","25,438","17,008","17,951"
,Transportation,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.9,1,1.2,1.2,1.1,1.1
,Crude Refining,"3,284","3,258","3,294","3,334","3,396","3,423","3,486","3,591","3,647","3,626","3,700","3,705","3,661","3,748","3,801","3,728","3,733","3,712","3,598","3,511","3,804","3,824","3,430","3,609","3,419","4,067","3,991","3,728"
,Total  ,"8,950","9,210","9,231","9,343","9,497","9,750","10,128","10,569","10,605","10,218","10,483","10,615","10,668","10,953","11,230","11,552","11,822","12,102","12,837","13,088","14,808","17,237","21,144","25,130","29,597","31,672","22,200","23,336"
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
