Table 3-28:  Approach 2 Quantitative Uncertainty Estimates for CO2 and N2O from the Incineration of Waste (MMT CO2 Eq. and Percent),,,,,,,
,,,,,,,
,,,2017 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,Source,Gas,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,,Lower Bound,Upper Bound,Lower Bound,Upper Bound
,Incineration of Waste,CO2,10.8,9.6,12.4,-11%,15%
,Incineration of Waste,N2O,0.3,0.2,1.2,-47%,301%
,a Range of emission estimates predicted by Monte Carlo Simulation for a 95 percent confidence interval.,,,,,,
